name,categories
Pizza Hut,"American Express,Caterers,Restaurant delivery service,Food Delivery,American restaurants,Fast Food Restaurants,Visa,Home delivery beer and beverages,Carry Out,Global,Pizza Place,Barbecue,Chicken restaurants,Mastercard,Carry-out food,Karaoke,Take Out Restaurants,Food Delivery Service,Family Style Restaurants,Discover,Family-Friendly Dining,Restaurants,Pizza,Restaurant,Barbecued poultry,Food Dining,Chicken,Spare rib restaurants,Catering"
Chinook's At Salmon Bay,"Seafood Restaurants,American Restaurants,Breakfast Brunch and Lunch Restaurants,,Caterers,Family Style Restaurants,Fast Food Restaurants,Restaurants,Take Out Restaurants"
KFC,"Fast Food,Chicken,Restaurants"
Dairy Queen,"Ice Cream Parlors,Carry-out food,Ice Cream and Frozen Desserts,Food and Beverage,Ice cream parlors,American restaurants,Fast Food Restaurants,Dessert Restaurants,Hamburgers and Hot Dogs,Restaurants"
Panda Express,"Asian Restaurants,Carry-out food,Restaurant,Take Out Restaurants,Fast Food Restaurants,Hilo Restaurants,Restaurants,Chinese restaurants"
McDonald's,"Ice Cream Parlors,Breakfast,Fast Food,Coffeehouses,Salads,Food & Entertainment,Hamburgers,Restaurants,Frozen Yogurt Shops,Sandwich Shops"
Banyans On The Ridge,"American Restaurants,Caterers,Steak Houses,Delicatessens,Night Clubs,Taverns,Take Out Restaurants,Fast Food Restaurants,Banquet Halls and Reception Facilities,Restaurants,Bars"
Tokyo Seoul,"Asian Restaurants,Caterers,Japanese Restaurants,Cocktail Lounges,Bar and Grills,Korean Restaurants,Take Out Restaurants,Fast Food Restaurants,Sushi Bars,Fish and Seafood Markets,Restaurants,Bars"
Subway,"Restaurant,Fast Food Restaurants,Take Out Restaurants,Restaurants,Sandwich Shops"
Burger Ranch,"American Restaurants,Hot Dog Stands and Restaurants,Hot Dogs,Fast Food Restaurants,Take Out Restaurants,Family Style Restaurants,Sandwiches,Hamburgers and Hot Dogs,New American Restaurants,Restaurants,Sandwich Shops"
El Rancho Alegre,"Mexican Restaurants,Banquet Halls and Reception Facilities,Caterers,Family Style Restaurants,Fast Food Restaurants,Latin American Restaurants,Restaurants,Take Out Restaurants"
Del Taco,"Fast Food Restaurants,Mexican Restaurants,Restaurants"
Taco Bell,"Restaurant,Mexican,Breakfast,Vegetarian,Fast Food Restaurant,Fast Food,Food & Entertainment,Restaurants"
McDonald's,"Ice Cream Parlors,Breakfast,Fast Food,Coffeehouses,Salads,Food & Entertainment,Hamburgers,Restaurants,Sandwich Shops"
